,FE_index,FE_show,FE_post,FE_put,FE_delete,BE_index,Be_show,BE_post,BE_put,BE_delete,FE
ventas,S,S,S,S,S,S,S,S,S,S,N
viaje_colaboradores,S,S,S,S,S,S,S,S,S,S,N
viajes,S,S,S,S,S,S,S,S,S,S,N
vinculo_familiares,S,S,S,S,S,S,S,S,S,S,N
reportes_clinica,N,N,N,N,N,N,N,N,N,N,S
reportes_inventario,N,N,N,N,N,N,N,N,N,N,S
reportes_caja,N,N,N,N,N,N,N,N,N,N,S
reportes_administracion,N,N,N,N,N,N,N,N,N,N,S
menu_configuraciones,N,N,N,N,N,N,N,N,N,N,S
menu_personas,N,N,N,N,N,N,N,N,N,N,S
editar_precio_venta,N,N,N,N,N,N,N,N,N,N,S
